Respondent_ID,Company_Size,Role,AI_Adoption_Level,Productivity_Improvement_%,Decision_Making_Speed_%,Operational_Efficiency_%,Revenue_Growth_%,Employee_Satisfaction_Score
1,Medium,Developer,Low,11.2,10.9,11.2,10.9,4.97
2,Large,Manager,Low,10.6,34.7,25.7,11.7,3.19
3,Large,IT Support,Moderate,7.8,13.8,19.7,15.9,3.49
4,Medium,Developer,None,27.2,16.5,8.8,8.2,2.8
5,Small,Developer,None,17.9,19.1,9.7,16.5,4.01
6,Small,Data Analyst,High,16.7,21.2,14.7,23.0,3.68
7,Small,Executive,Moderate,8.0,22.5,17.8,14.4,3.08
8,Large,Data Analyst,None,13.1,22.8,19.7,6.5,2.69
9,Medium,Manager,Low,7.1,17.0,21.7,7.7,4.58
10,Large,IT Support,Low,11.1,22.7,19.2,10.3,2.48
11,Small,Data Analyst,Moderate,5.3,16.7,24.1,7.8,3.95
12,Large,Developer,Low,27.7,22.1,16.8,5.1,2.09
13,Large,IT Support,Low,8.9,21.5,11.4,13.1,4.1
14,Small,IT Support,None,8.0,23.3,16.0,10.5,4.28
15,Small,Developer,Low,4.4,22.5,15.6,13.3,4.37
16,Small,Data Analyst,Moderate,8.8,14.9,0.5,20.3,3.49
17,Medium,Developer,None,11.0,21.2,12.6,10.3,4.71
18,Medium,Executive,High,14.6,22.6,17.9,3.7,5.0
19,Medium,IT Support,Low,9.8,9.0,13.5,9.2,3.37
20,Small,Consultant,Low,2.2,16.1,12.1,17.4,3.28
21,Medium,Consultant,None,2.9,22.3,21.5,16.7,3.7
22,Small,Manager,Low,20.4,30.0,10.5,15.6,3.27
23,Small,Developer,High,14.0,23.8,20.3,7.6,3.16
24,Medium,Developer,Moderate,20.2,30.4,8.0,17.3,3.22
25,Medium,Manager,Moderate,21.2,15.2,32.6,18.8,4.8
26,Large,Manager,Moderate,16.2,19.8,14.7,7.1,4.14
27,Small,Manager,Low,5.1,23.6,14.1,11.7,3.26
28,Medium,IT Support,Moderate,16.5,1.7,22.9,26.1,1.88
29,Medium,Executive,None,26.2,28.6,13.5,6.8,2.52
30,Small,Developer,Moderate,11.4,5.0,24.7,0.1,3.95
31,Medium,IT Support,Low,17.7,25.0,18.2,21.7,2.11
32,Small,Manager,None,14.9,22.8,15.3,20.0,3.81
33,Small,Developer,Low,26.0,1.6,14.6,8.8,2.85
34,Large,IT Support,None,9.6,2.0,23.2,11.2,3.66
35,Large,Executive,None,24.2,28.0,17.4,3.4,3.64
36,Large,IT Support,Low,12.0,26.5,18.6,12.6,3.68
37,Medium,Executive,High,9.4,11.8,19.2,20.2,3.32
38,Small,Manager,Low,15.9,11.8,16.8,8.2,3.3
39,Medium,Executive,None,17.7,21.6,19.1,18.1,3.1
40,Medium,Developer,Moderate,30.3,17.9,15.3,15.2,3.94
41,Small,Manager,High,17.6,25.4,15.7,16.0,4.16
42,Medium,Developer,Low,16.5,21.4,9.3,8.6,2.75
43,Small,Consultant,Low,27.8,29.1,17.8,9.5,3.56
44,Large,Data Analyst,Moderate,19.8,24.8,5.7,0.0,3.74
45,Small,Executive,None,9.8,23.0,17.7,8.0,3.73
46,Medium,Data Analyst,High,25.8,15.5,14.3,20.1,3.72
47,Medium,Data Analyst,High,9.1,15.0,18.2,5.5,3.32
48,Medium,Executive,Low,9.8,17.6,9.7,6.5,3.8
49,Medium,Manager,None,8.2,30.9,3.3,16.5,4.03
50,Small,Consultant,High,7.5,15.2,13.9,14.8,3.7
51,Large,Developer,Moderate,17.7,19.8,9.7,16.8,3.95
52,Large,IT Support,Moderate,12.9,2.3,5.3,3.9,4.29
53,Large,Developer,Moderate,0.0,22.7,20.6,29.9,2.3
54,Large,IT Support,Moderate,12.9,33.8,25.6,3.5,4.26
55,Medium,Developer,High,10.9,11.5,11.2,13.1,3.84
56,Large,Executive,High,22.1,40.2,15.5,10.9,2.82
57,Small,Consultant,High,10.5,19.3,14.2,3.7,4.16
58,Small,IT Support,Moderate,35.3,-0.0,12.0,9.4,3.32
59,Small,Manager,High,26.2,15.3,20.0,12.2,3.42
60,Medium,Developer,Moderate,11.9,27.3,22.1,7.5,3.24
61,Medium,Developer,Moderate,24.2,32.0,10.8,18.6,3.81
62,Small,IT Support,None,19.2,23.0,16.3,10.9,3.05
63,Large,Manager,High,16.9,29.0,23.7,2.6,4.23
64,Medium,Manager,High,21.4,9.8,20.1,2.0,3.5
65,Small,Executive,Moderate,15.4,13.2,21.0,16.2,3.35
66,Medium,Executive,High,16.9,6.2,24.2,1.6,4.13
67,Small,Executive,Moderate,21.6,13.8,24.1,14.2,3.38
68,Large,Executive,Low,31.4,23.3,22.2,15.1,4.26
69,Small,Executive,Low,17.0,19.5,16.9,5.0,4.29
70,Large,Executive,Low,11.4,24.1,13.7,18.2,2.67
71,Large,Consultant,Low,0.0,11.4,16.6,-0.0,4.38
72,Small,Manager,None,30.7,11.9,12.8,14.1,2.58
73,Small,Executive,Moderate,12.9,19.4,4.3,11.7,4.42
74,Large,Manager,Low,19.3,13.8,14.3,11.2,5.0
75,Large,Manager,Moderate,30.2,27.1,18.1,3.8,4.21
76,Large,Data Analyst,Low,16.8,13.6,12.5,5.4,2.09
77,Large,Consultant,Moderate,13.4,14.5,14.8,23.3,4.34
78,Small,Executive,Low,26.4,20.9,15.1,20.5,5.0
79,Medium,Developer,Low,18.7,15.3,24.1,17.2,3.39
80,Small,IT Support,Low,19.7,9.4,13.8,18.6,3.58
81,Large,Developer,Moderate,2.8,10.3,24.1,17.9,2.77
82,Medium,Consultant,Low,24.6,21.8,0.0,9.7,3.82
83,Medium,IT Support,High,18.0,8.5,24.1,12.3,4.49
84,Small,Consultant,None,4.0,27.8,23.8,1.7,4.09
85,Medium,Manager,Low,18.9,13.2,21.4,11.4,5.0
86,Medium,IT Support,High,0.0,22.3,3.9,20.3,3.62
87,Large,Manager,Moderate,33.7,13.6,22.1,7.4,2.46
88,Medium,Developer,Low,6.2,11.6,15.7,19.2,3.72
89,Large,Developer,Moderate,27.9,19.7,0.8,12.6,1.91
90,Medium,IT Support,Moderate,8.5,25.4,23.8,2.3,3.23
91,Small,IT Support,Moderate,19.5,16.3,24.7,4.2,4.74
92,Large,Executive,None,7.7,17.5,4.6,18.4,3.83
93,Large,Consultant,Low,23.0,23.7,17.1,15.9,3.73
